"filename", "language", "SCSS", "comment", "blank", "total"
"/Users/sebastianflajszer/Projects/Node/ecommerce-web/src/scss/base/_mixins.scss", "SCSS", 23, 2, 5, 30
"/Users/sebastianflajszer/Projects/Node/ecommerce-web/src/scss/base/_variables.scss", "SCSS", 2, 0, 1, 3
"/Users/sebastianflajszer/Projects/Node/ecommerce-web/src/scss/components/carousel.scss", "SCSS", 54, 0, 9, 63
"/Users/sebastianflajszer/Projects/Node/ecommerce-web/src/scss/components/carouselItem.scss", "SCSS", 33, 0, 9, 42
"/Users/sebastianflajszer/Projects/Node/ecommerce-web/src/scss/components/checkbox.scss", "SCSS", 23, 0, 4, 27
"/Users/sebastianflajszer/Projects/Node/ecommerce-web/src/scss/components/footer.scss", "SCSS", 6, 0, 1, 7
"/Users/sebastianflajszer/Projects/Node/ecommerce-web/src/scss/components/mobileNavbar.scss", "SCSS", 77, 4, 16, 97
"/Users/sebastianflajszer/Projects/Node/ecommerce-web/src/scss/components/navbar.scss", "SCSS", 95, 0, 21, 116
"/Users/sebastianflajszer/Projects/Node/ecommerce-web/src/scss/components/news.scss", "SCSS", 29, 0, 8, 37
"/Users/sebastianflajszer/Projects/Node/ecommerce-web/src/scss/components/productCard.scss", "SCSS", 22, 0, 7, 29
"/Users/sebastianflajszer/Projects/Node/ecommerce-web/src/scss/index.scss", "SCSS", 16, 0, 3, 19
"/Users/sebastianflajszer/Projects/Node/ecommerce-web/src/scss/pages/category.scss", "SCSS", 31, 0, 6, 37
"/Users/sebastianflajszer/Projects/Node/ecommerce-web/src/scss/pages/home.scss", "SCSS", 80, 0, 16, 96
"Total", "-", 491, 6, 106, 603